Time interval: 40
Azimuth angle: 35
Type: Harpoon
3888.48 5553.32 15.00
3882.29 5544.48 15.00
3876.09 5535.63 15.00
3869.90 5526.78 15.00
3863.70 5517.94 15.00
3857.51 5509.09 15.00
3851.31 5500.24 15.00
3845.12 5491.40 15.00
3838.92 5482.55 15.00
3832.73 5473.70 15.00
3826.53 5464.86 15.00
3820.34 5456.01 15.00
3814.14 5447.16 15.00
3807.95 5438.32 15.00
3801.75 5429.47 15.00
3795.56 5420.62 15.00
3789.37 5411.78 15.00
3783.17 5402.93 15.00
3776.98 5394.08 15.00
3770.78 5385.23 15.00
3764.59 5376.39 15.00
3758.39 5367.54 15.00
3752.20 5358.69 15.00
3746.00 5349.85 15.00
3739.81 5341.00 15.00
3733.61 5332.15 15.00
3727.42 5323.31 15.00
3721.22 5314.46 15.00
3715.03 5305.61 15.00
3708.84 5296.77 15.00
3702.64 5287.92 15.00
3696.45 5279.07 15.00
3690.25 5270.23 15.00
3684.06 5261.38 15.00
3677.86 5252.53 15.00
3671.67 5243.69 15.00
3665.47 5234.84 15.00
3659.28 5225.99 15.00
3653.08 5217.14 15.00
3646.89 5208.30 15.00
3640.69 5199.45 15.00
3634.50 5190.60 15.00
3628.31 5181.76 15.00
3622.11 5172.91 15.00
3615.92 5164.06 15.00
3609.72 5155.22 15.00
3603.53 5146.37 15.00
3597.33 5137.52 15.00
3591.14 5128.68 15.00
3584.94 5119.83 15.00
3578.75 5110.98 15.00
3572.55 5102.14 15.00
3566.36 5093.29 15.00
3560.16 5084.44 15.00
3553.97 5075.60 15.00
3547.78 5066.75 15.00
3541.58 5057.90 15.00
3535.39 5049.05 15.00
3529.19 5040.21 15.00
3523.00 5031.36 15.00
3516.80 5022.51 15.00
3510.61 5013.67 15.00
3504.41 5004.82 15.00
3498.22 4995.97 15.00
3492.02 4987.13 15.00
3485.83 4978.28 15.00
3479.63 4969.43 15.00
3473.44 4960.59 15.00
3467.25 4951.74 15.00
3461.05 4942.89 15.00
3454.86 4934.05 15.00
3448.66 4925.20 15.00
3442.47 4916.35 15.00
3436.27 4907.51 15.00
3430.08 4898.66 15.00
3423.88 4889.81 15.00
3417.69 4880.96 15.00
3411.49 4872.12 15.00
3405.30 4863.27 15.00
3399.10 4854.42 15.00
3392.91 4845.58 15.00
3386.72 4836.73 15.00
3380.52 4827.88 15.00
3374.33 4819.04 15.00
3368.13 4810.19 15.00
3361.94 4801.34 15.00
3355.74 4792.50 15.00
3349.55 4783.65 15.00
3343.35 4774.80 15.00
3337.16 4765.96 15.00
3330.96 4757.11 15.00
3324.77 4748.26 15.00
3318.57 4739.42 15.00
3312.38 4730.57 15.00
3306.18 4721.72 15.00
3299.99 4712.87 15.00
3293.80 4704.03 15.00
3287.60 4695.18 15.00
3281.41 4686.33 15.00
3275.21 4677.49 15.00
3269.02 4668.64 15.00
3262.82 4659.79 15.00
3256.63 4650.95 15.00
3250.43 4642.10 15.00
3244.24 4633.25 15.00
3238.04 4624.41 15.00
3231.85 4615.56 15.00
3225.65 4606.71 15.00
3219.46 4597.87 15.00
3213.27 4589.02 15.00
3207.07 4580.17 15.00
3200.88 4571.33 15.00
3194.68 4562.48 15.00
3188.49 4553.63 15.00
3182.29 4544.78 15.00
3176.10 4535.94 15.00
3169.90 4527.09 15.00
3163.71 4518.24 15.00
3157.51 4509.40 15.00
3151.32 4500.55 15.00
3145.12 4491.70 15.00
3138.93 4482.86 15.00
3132.74 4474.01 15.00
3126.54 4465.16 15.00
3120.35 4456.32 15.00
3114.15 4447.47 15.00
3107.96 4438.62 15.00
3101.76 4429.78 15.00
3095.57 4420.93 15.00
3089.37 4412.08 15.00
3083.18 4403.24 15.00
3076.98 4394.39 15.00
3070.79 4385.54 15.00
3064.59 4376.69 15.00
3058.40 4367.85 15.00
3052.21 4359.00 15.00
3046.01 4350.15 15.00
3039.82 4341.31 15.00
3033.62 4332.46 15.00
3027.43 4323.61 15.00
3021.23 4314.77 15.00
3015.04 4305.92 15.00
